ARTYLUŁ;SWING;MODEL;NAZWA ARTYKU£U;LFB1;LFB3;LFB4;TRNS;Suma
40346797;800295;7;SVORKMO slid doors pair 200x201 striped beige/white AP JP;0;132;0;0;132
10344714;800294;3;SVORKMO slid doors pair 200x201 striped white/beige;0;84;0;0;84
30346793;800295;3;SVORKMO slid doors pair 200x201 striped white/beige AP JP;0;54;0;0;54
70344730;800294;12;SVORKMO slid doors pair 200x236 net pattern white/beige;0;36;0;0;36
80346804;800295;12;SVORKMO slid doors pair 200x236 net pattern white/beige AP JP;0;108;0;0;108
30344732;800294;20;SVORKMO slid doors pair 200x236 net pattern white/light blue;0;54;0;0;54
90346813;800295;20;SVORKMO slid doors pair 200x236 net pattern white/light blue AP JP;0;30;0;0;30
50344731;800294;16;SVORKMO slid doors pair 200x236 net pattern white/orange;0;120;0;0;120
90346808;800295;16;SVORKMO slid doors pair 200x236 net pattern white/orange AP JP;0;72;0;0;72
90344734;800294;28;SVORKMO slid doors pair 200x236 patterned beige/white;0;126;0;0;126
20346821;800295;28;SVORKMO slid doors pair 200x236 patterned beige/white AP JP;0;66;0;0;66
10344733;800294;24;SVORKMO slid doors pair 200x236 patterned dark blue/white;0;240;0;0;240
346817;800295;24;SVORKMO slid doors pair 200x236 patterned dark blue/white AP JP;0;198;0;0;198
90344729;800294;8;SVORKMO slid doors pair 200x236 striped beige/white;0;72;0;0;72
346799;800295;8;SVORKMO slid doors pair 200x236 striped beige/white AP JP;0;204;0;0;204
10344728;800294;4;SVORKMO slid doors pair 200x236 striped white/beige;0;78;0;0;78
80346795;800295;4;SVORKMO slid doors pair 200x236 striped white/beige AP JP;0;120;0;0;120
80301532;800277;1;TORESUND bar table 70x140 white/high-gloss;0;976;0;0;976
80256695;800262;1;TORESUND dining tbl 180x90 white high-gloss;0;832;0;0;832
70297917;800262;2;TORESUND table 135x90 white high-gloss;0;528;0;0;528
10117556;800211;2;UTBY tbl tp 120x60 brown-black;0;350;0;0;350
